frame_index,seq,header_stamp,aligned_stamp
463,138787,56766.087586000,56766.099366000
464,138788,56766.104229000,56766.116009000
465,138789,56766.120846000,56766.132626000
466,138790,56766.137950000,56766.149730000
467,138791,56766.154018000,56766.165798000
468,138792,56766.171765000,56766.183545000
469,138793,56766.187822000,56766.199602000
470,138794,56766.204365000,56766.216145000
471,138795,56766.220624000,56766.232404000
472,138796,56766.238093000,56766.249873000
473,138797,56766.254077000,56766.265857000
474,138798,56766.271890000,56766.283670000
475,138799,56766.286762000,56766.298542000
476,138800,56766.304497000,56766.316277000
477,138801,56766.320874000,56766.332654000
478,138802,56766.338043000,56766.349823000
479,138803,56766.354235000,56766.366015000
480,138804,56766.373350000,56766.385130000
481,138805,56766.387130000,56766.398910000
482,138806,56766.404431000,56766.416211000
483,138807,56766.422578000,56766.434358000
484,138808,56766.437846000,56766.449626000
485,138809,56766.453925000,56766.465705000
486,138810,56766.471954000,56766.483734000
487,138811,56766.487529000,56766.499309000
488,138812,56766.504322000,56766.516102000
489,138813,56766.521889000,56766.533669000
490,138814,56766.537069000,56766.548849000
491,138815,56766.554123000,56766.565903000
492,138816,56766.569994000,56766.581774000
493,138817,56766.587715000,56766.599495000
494,138818,56766.603630000,56766.615410000
495,138819,56766.620542000,56766.632322000
496,138820,56766.636733000,56766.648513000
497,138821,56766.654146000,56766.665926000
498,138822,56766.670283000,56766.682063000
499,138823,56766.686675000,56766.698455000
500,138824,56766.704621000,56766.716401000
501,138825,56766.721164000,56766.732944000
502,138826,56766.736923000,56766.748703000
503,138827,56766.753928000,56766.765708000
504,138828,56766.770237000,56766.782017000
505,138829,56766.786692000,56766.798472000
506,138830,56766.803814000,56766.815594000
507,138831,56766.821998000,56766.833778000
508,138832,56766.837023000,56766.848803000
509,138833,56766.853966000,56766.865746000
510,138834,56766.872317000,56766.884097000
511,138835,56766.887602000,56766.899382000
512,138836,56766.903727000,56766.915507000
513,138837,56766.921849000,56766.933629000
514,138838,56766.937169000,56766.948949000
515,138839,56766.954249000,56766.966029000
516,138840,56766.970389000,56766.982169000
517,138841,56766.986672000,56766.998452000
518,138842,56767.006600000,56767.018380000
519,138843,56767.020613000,56767.032393000
520,138844,56767.036623000,56767.048403000
521,138845,56767.054033000,56767.065813000
522,138846,56767.070292000,56767.082072000
523,138847,56767.086628000,56767.098408000
524,138848,56767.103799000,56767.115579000
525,138849,56767.122166000,56767.133946000
526,138850,56767.136681000,56767.148461000
527,138851,56767.153883000,56767.165663000
528,138852,56767.171940000,56767.183720000
529,138853,56767.187373000,56767.199153000
530,138854,56767.203642000,56767.215422000
531,138855,56767.220717000,56767.232497000
532,138856,56767.236736000,56767.248516000
533,138857,56767.253827000,56767.265607000
534,138858,56767.270150000,56767.281930000
535,138859,56767.287738000,56767.299518000
536,138860,56767.303732000,56767.315512000
537,138861,56767.321978000,56767.333758000
538,138862,56767.336589000,56767.348369000
539,138863,56767.353981000,56767.365761000
540,138864,56767.369984000,56767.381764000
541,138865,56767.386587000,56767.398367000
542,138866,56767.404644000,56767.416424000
543,138867,56767.420855000,56767.432635000
544,138868,56767.436527000,56767.448307000
545,138869,56767.453536000,56767.465316000
546,138870,56767.470273000,56767.482053000
547,138871,56767.486575000,56767.498355000
548,138872,56767.503663000,56767.515443000
549,138873,56767.522137000,56767.533917000
550,138874,56767.536523000,56767.548303000
551,138875,56767.553779000,56767.565559000
552,138876,56767.570122000,56767.581902000
553,138877,56767.586630000,56767.598410000
554,138878,56767.603699000,56767.615479000
555,138879,56767.620960000,56767.632740000
556,138880,56767.636775000,56767.648555000
557,138881,56767.653943000,56767.665723000
558,138882,56767.670259000,56767.682039000
559,138883,56767.687570000,56767.699350000
560,138884,56767.703576000,56767.715356000
561,138885,56767.720392000,56767.732172000
562,138886,56767.736455000,56767.748235000
563,138887,56767.753862000,56767.765642000
564,138888,56767.769944000,56767.781724000
565,138889,56767.786525000,56767.798305000
566,138890,56767.804467000,56767.816247000
567,138891,56767.820750000,56767.832530000
568,138892,56767.836460000,56767.848240000
569,138893,56767.853589000,56767.865369000
570,138894,56767.871764000,56767.883544000
571,138895,56767.886527000,56767.898307000
572,138896,56767.903530000,56767.915310000
573,138897,56767.920622000,56767.932402000
574,138898,56767.936505000,56767.948285000
575,138899,56767.953636000,56767.965416000
576,138900,56767.970046000,56767.981826000
577,138901,56767.988983000,56768.000763000
578,138902,56768.003450000,56768.015230000
579,138903,56768.020336000,56768.032116000
580,138904,56768.036831000,56768.048611000
581,138905,56768.054081000,56768.065861000
582,138906,56768.069820000,56768.081600000
583,138907,56768.086411000,56768.098191000
584,138908,56768.103730000,56768.115510000
585,138909,56768.120726000,56768.132506000
586,138910,56768.136499000,56768.148279000
587,138911,56768.153901000,56768.165681000
588,138912,56768.169977000,56768.181757000
589,138913,56768.186445000,56768.198225000
590,138914,56768.203537000,56768.215317000
591,138915,56768.221665000,56768.233445000
592,138916,56768.236617000,56768.248397000
593,138917,56768.253675000,56768.265455000
594,138918,56768.270107000,56768.281887000
595,138919,56768.286476000,56768.298256000
596,138920,56768.303556000,56768.315336000
597,138921,56768.320043000,56768.331823000
598,138922,56768.336638000,56768.348418000
599,138923,56768.353808000,56768.365588000
600,138924,56768.369934000,56768.381714000
601,138925,56768.387598000,56768.399378000
602,138926,56768.403509000,56768.415289000
603,138927,56768.420306000,56768.432086000
604,138928,56768.436361000,56768.448141000
605,138929,56768.453760000,56768.465540000
606,138930,56768.469814000,56768.481594000
607,138931,56768.486348000,56768.498128000
608,138932,56768.504375000,56768.516155000
609,138933,56768.520422000,56768.532202000
610,138934,56768.536361000,56768.548141000
611,138935,56768.553489000,56768.565269000
612,138936,56768.570101000,56768.581881000
613,138937,56768.586411000,56768.598191000
614,138938,56768.603521000,56768.615301000
615,138939,56768.620727000,56768.632507000
616,138940,56768.636635000,56768.648415000
617,138941,56768.653636000,56768.665416000
618,138942,56768.670058000,56768.681838000
619,138943,56768.688831000,56768.700611000
620,138944,56768.703376000,56768.715156000
621,138945,56768.720294000,56768.732074000
622,138946,56768.736591000,56768.748371000
623,138947,56768.753918000,56768.765698000
624,138948,56768.769940000,56768.781720000
625,138949,56768.786331000,56768.798111000
626,138950,56768.803625000,56768.815405000
627,138951,56768.821924000,56768.833704000
628,138952,56768.836297000,56768.848077000
629,138953,56768.853861000,56768.865641000
630,138954,56768.870002000,56768.881782000
631,138955,56768.886361000,56768.898141000
632,138956,56768.903577000,56768.915357000
633,138957,56768.920503000,56768.932283000
634,138958,56768.936319000,56768.948099000
635,138959,56768.953501000,56768.965281000
636,138960,56768.970212000,56768.981992000
637,138961,56768.986401000,56768.998181000
638,138962,56769.003469000,56769.015249000
639,138963,56769.021983000,56769.033763000
640,138964,56769.036545000,56769.048325000
641,138965,56769.053578000,56769.065358000
642,138966,56769.069880000,56769.081660000
643,138967,56769.086597000,56769.098377000
644,138968,56769.103620000,56769.115400000
645,138969,56769.120660000,56769.132440000
646,138970,56769.136456000,56769.148236000
647,138971,56769.153861000,56769.165641000
648,138972,56769.169898000,56769.181678000
649,138973,56769.186235000,56769.198015000
650,138974,56769.203722000,56769.215502000
651,138975,56769.220637000,56769.232417000
652,138976,56769.236246000,56769.248026000
653,138977,56769.253815000,56769.265595000
654,138978,56769.269916000,56769.281696000
655,138979,56769.286251000,56769.298031000
656,138980,56769.303286000,56769.315066000
657,138981,56769.320742000,56769.332522000
658,138982,56769.336425000,56769.348205000
659,138983,56769.353458000,56769.365238000
660,138984,56769.370119000,56769.381899000
661,138985,56769.387173000,56769.398953000
662,138986,56769.403015000,56769.414795000
663,138987,56769.419978000,56769.431758000
664,138988,56769.436568000,56769.448348000
665,138989,56769.453804000,56769.465584000
666,138990,56769.469664000,56769.481444000
667,138991,56769.487325000,56769.499105000
668,138992,56769.503434000,56769.515214000
669,138993,56769.520378000,56769.532158000
670,138994,56769.536196000,56769.547976000
671,138995,56769.553828000,56769.565608000
672,138996,56769.569919000,56769.581699000
673,138997,56769.586240000,56769.598020000
674,138998,56769.604376000,56769.616156000
675,138999,56769.620500000,56769.632280000
676,139000,56769.636276000,56769.648056000
677,139001,56769.653746000,56769.665526000
678,139002,56769.670031000,56769.681811000
679,139003,56769.686225000,56769.698005000
680,139004,56769.703368000,56769.715148000
681,139005,56769.721727000,56769.733507000
682,139006,56769.736277000,56769.748057000
683,139007,56769.753454000,56769.765234000
684,139008,56769.769927000,56769.781707000
685,139009,56769.786378000,56769.798158000
686,139010,56769.803439000,56769.815219000
687,139011,56769.821855000,56769.833635000
688,139012,56769.836751000,56769.848531000
689,139013,56769.853899000,56769.865679000
690,139014,56769.869709000,56769.881489000
691,139015,56769.886145000,56769.897925000
692,139016,56769.903564000,56769.915344000
693,139017,56769.920071000,56769.931851000
694,139018,56769.936302000,56769.948082000
695,139019,56769.953671000,56769.965451000
696,139020,56769.969730000,56769.981510000
697,139021,56769.986214000,56769.997994000
698,139022,56770.003114000,56770.014894000
699,139023,56770.020534000,56770.032314000
700,139024,56770.036267000,56770.048047000
701,139025,56770.053352000,56770.065132000
702,139026,56770.070026000,56770.081806000
703,139027,56770.086236000,56770.098016000
704,139028,56770.103349000,56770.115129000
705,139029,56770.121724000,56770.133504000
706,139030,56770.136417000,56770.148197000
707,139031,56770.153567000,56770.165347000
708,139032,56770.169603000,56770.181383000
709,139033,56770.188717000,56770.200497000
710,139034,56770.203168000,56770.214948000
711,139035,56770.220172000,56770.231952000
712,139036,56770.236247000,56770.248027000
713,139037,56770.253636000,56770.265416000
714,139038,56770.269589000,56770.281369000
715,139039,56770.286073000,56770.297853000
716,139040,56770.303621000,56770.315401000
717,139041,56770.322050000,56770.333830000
718,139042,56770.336261000,56770.348041000
719,139043,56770.353651000,56770.365431000
720,139044,56770.369805000,56770.381585000
